id,time,color
0,1.8479791666666667,None
1,2.0506458333333333,None
2,3.6506458333333334,None
3,3.9973125,None
4,4.898645833333333,None
5,5.378645833333334,None
6,5.847979166666667,None
7,6.778645833333333,None
8,7.247979166666667,None
9,7.730645833333333,None
10,8.650645833333334,None
11,9.127979166666666,None
12,9.5973125,None
13,10.530645833333333,None
14,10.999979166666666,None
15,11.479979166666666,None
16,12.378645833333334,None
17,13.0773125,None
18,13.5253125,None
19,14.047979166666666,None
20,14.9573125,None
21,15.826645833333334,None
22,16.8773125,None
23,17.986645833333334,None
24,18.2373125,None
25,18.5893125,None
26,19.7093125,None
27,20.050645833333334,None
28,20.5413125,None
29,20.887979166666668,None
30,22.466645833333335,None
31,22.8693125,None
32,23.490645833333332,None
33,24.3893125,None
34,25.290645833333333,None
35,25.498645833333335,None
36,26.058645833333333,None
37,27.2213125,None
38,27.5413125,None
39,28.087979166666667,None
40,28.370645833333334,None
41,28.799979166666667,None
42,29.007979166666665,None
43,29.727979166666668,None
44,30.210645833333334,None
45,30.6613125,None
46,31.026645833333333,None
47,32.7493125,None
48,32.967979166666666,None
49,33.74664583333333,None
50,33.9493125,None
51,34.458645833333335,None
52,34.6613125,None
53,35.74664583333333,None
54,35.967979166666666,None
55,36.57064583333333,None
56,36.7893125,None
57,37.55464583333333,None
58,37.76797916666667,None
59,38.6693125,None
60,39.5893125,None
61,40.00264583333333,None
62,40.8213125,None
63,41.03997916666667,None
64,41.3413125,None
65,41.9813125,None
66,42.25864583333333,None
67,43.327979166666665,None
68,43.858645833333334,None
69,44.0613125,None
70,44.74664583333333,None
71,45.2293125,None
72,45.5813125,None
73,45.93064583333334,None
74,46.6293125,None
75,47.1013125,None
76,47.327979166666665,None
77,47.53064583333333,None
78,47.8373125,None
79,48.3413125,None
80,48.602645833333334,None
81,48.970645833333336,None
82,49.239979166666664,None
83,50.33864583333333,None
84,50.8373125,None
85,51.370645833333334,None
86,52.10664583333333,None
87,52.559979166666665,None
88,53.05864583333334,None
89,53.2773125,None
90,54.599979166666664,None
91,55.050645833333334,None
92,56.03997916666667,None
93,56.38664583333333,None
94,57.0213125,None
95,57.266645833333335,None
96,57.86664583333334,None
97,58.10664583333333,None
98,58.34664583333333,None
99,58.80797916666667,None
100,59.047979166666664,None
101,59.27464583333333,None
102,59.7493125,None
103,59.97864583333333,None
104,60.2293125,None
105,60.458645833333335,None
106,60.69864583333333,None
107,61.159979166666666,None
108,61.61864583333333,None
109,61.8613125,None
110,62.08797916666666,None
111,62.559979166666665,None
112,62.8613125,None
113,63.5093125,None
114,63.7413125,None
115,63.970645833333336,None
116,64.45864583333334,None
117,64.95997916666667,None
118,65.3813125,None
119,65.61064583333334,None
120,65.85064583333333,None
121,66.30664583333333,None
122,66.7013125,None
123,67.2373125,None
124,67.48797916666666,None
125,67.70664583333334,None
126,68.1893125,None
127,68.65864583333334,None
128,68.89064583333334,None
129,69.11997916666667,None
130,69.3573125,None
131,69.58664583333334,None
132,69.83997916666667,None
133,70.05864583333333,None
134,70.28797916666667,None
135,70.75997916666667,None
136,71.01064583333333,None
137,71.23997916666667,None
138,71.46664583333333,None
139,71.70664583333334,None
140,71.9573125,None
141,72.18664583333333,None
142,72.41064583333333,None
